51618,2024-10-07,Открыт приём заявок для участия в Эрарта Премии — 2025,null,<p>До 20 октября музей современного искусства Эрарта проводит приём заявок на соискание премии в 2025 году. Всего будет выбрано 40 авторов, а призовой фонд составит 3 500 000 рублей. Самое интересное, что победителей этого уникального конкурса определят не эксперты, а зрители.</p>,https://kudago.com/spb/news/otkryit-priyom-zayavok-dlya-erarta/,0,0,0.5
51631,2024-10-07,В России может появиться студенческая ипотека,null,<p>Молодые семьи смогут купить большую квартиру для себя и будущих детей.</p>,https://kudago.com/all/news/v-rossii-mozhet-poyavitsya-studencheskaya-ipoteka/,0,0,0.5
51630,2024-10-07,В октябре ожидаются два звездопада,null,<p>За ними можно наблюдать после захода солнца.</p>,https://kudago.com/all/news/v-oktyabre-budet-dva-zvezdopada/,0,0,0.5
51629,2024-10-07,В России планируют ввести штрафы за оскорбление учителей,null,<p>Это коснётся и высказываний в сети.</p>,https://kudago.com/all/news/v-rossii-planiruyut-vvesti-shtrafyi/,0,0,0.5
51628,2024-10-07,В Красногвардейском районе появятся швейные коворкинги,null,<p>Они будут бесплатными.</p>,https://kudago.com/spb/news/v-krasnogvardejskom-rajone-shvejnye-kovorkingi/,0,0,0.5
51627,2024-10-07,В Летнем саду поспела брусника,null,<p>Но лучше её не есть.</p>,https://kudago.com/spb/news/v-letnem-sadu-pospela-brusnika/,0,0,0.5
51622,2024-10-07,В Петербурге скоро похолодает,null,<p>А потом потеплеет.</p>,https://kudago.com/spb/news/v-peterburge-skoro-poholodaet/,0,0,0.5
51620,2024-10-07,Над Россией зажглось северное сияние,null,<p>Огни на небе появились в середине ночи.</p>,https://kudago.com/all/news/nad-rossiej-zazhglos-severnoe-siyanie/,0,0,0.5
51669,2024-10-10,В Ленобласти продолжается грибной сезон,null,<p>Охота за клюквой в самом разгаре.</p>,https://kudago.com/spb/news/v-lenoblasti-prodolzhaetsya/,0,0,0.5
51665,2024-10-10,Планета против: рецензия на фильм «Говорит Земля!»,null,<p>В кинотеатрах уже идёт легкомысленная, но забавная комедия «Говорит Земля!». Евгений Корчагин, снимавший «Михалыча» и «Войну семей» для телеканала ТНТ, посвятил свой полнометражный дебют проблемам экологии. Впрочем, довольно поверхностно. Какой получилась экокомедия, читайте в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про <a href="https://kudago.com/spb/kino/" target="_blank" title="киноафиша "><u>кино</u></a>.</p>,https://kudago.com/all/news/retsenziya-na-film-govorit-zemlya/,0,0,0.5
51662,2024-10-09,В Японии выпустили самый маленький кубик Рубика в истории,null,<p>Рекорд подтвердили официально.</p>,https://kudago.com/all/news/v-yaponii-vyipustili-samyij/,0,0,0.5
51661,2024-10-09,Вышел дебютный трейлер байопика про Боба Дилана,null,<p>Кинолента расскажет о молодости поэта и певца.</p>,https://kudago.com/all/news/trejler-bajopika-pro-boba-dilana/,0,0,0.5
51660,2024-10-09,Роман «Йеллоуфейс» Ребекки Куанг экранизируют,null,<p>Печатная история о присвоенной книге стала бестселлером. </p>,https://kudago.com/all/news/jelloufejs-rebekki-kuang-ekraniziruyut/,0,0,0.5
51659,2024-10-09,В новом трейлере «Моаны 2» герои противостоят богине,null,<p>Их цель — снять проклятие.</p>,https://kudago.com/all/news/v-novom-trejlere-moanyi-2-geroi/,0,0,0.5
51657,2024-10-09,Объявлена дата премьеры экранизации «Ста лет одиночества»,null,<p>Первый сезон покажут в декабре.</p>,https://kudago.com/all/news/data-premery-sto-let-odinochestva/,0,0,0.5
51655,2024-10-09,Сад-трансформер на Исаакиевской площади демонтировали,null,<p>Деревья и кусты высадят в парках города.</p>,https://kudago.com/spb/news/sad-transformer-na-isaakievskoj/,0,0,0.5
51656,2024-10-09,В Петербурге могут ввести бесплатный день для посещения музеев раз в месяц,null,<p>Культурный досуг должен стать доступнее.</p>,https://kudago.com/spb/news/besplatnyj-den-dlya-posesheniya-muzeev-peterburg/,0,0,0.5
51654,2024-10-09,Кронверкский мост у Петропавловской крепости закрыли на ремонт,null,<p>Он закончится в следующем году.</p>,https://kudago.com/spb/news/kronverkskij-most-u/,0,0,0.5
51752,2024-10-18,У приквела «Дюны» появился ещё один трейлер,null,<p>В шоу будет шесть эпизодов.</p>,https://kudago.com/all/news/u-prikvela-dyunyi-poyavilsya/,0,0,0.5
51751,2024-10-18,В России обсуждают запрет езды на электросамокатах людям до 16 лет,null,<p>И возможность арендовать СИМ только при наличии водительского удостоверения. </p>,https://kudago.com/all/news/na-samokatah-razreshat-ezdit-s/,0,0,0.5
